id,smartphone_brand,smartphone_model,product_category,cost
81089,Motorola,Mi 11,Smartphone,195343
81090,Samsung,iPhone 12,Electronics,65056
81091,Apple,Pixel 5,Mobile Device,58860
81092,Samsung,Pixel 5,Mobile Device,18226
81093,Xiaomi,LG V60 ThinQ,Smartphone,135310
81094,Huawei,ZenFone 8,Mobile Device,33267
81095,Apple,Moto G Power,Mobile Device,33730
81096,Huawei,iPhone 12,Smartphone,88104
81097,Apple,LG V60 ThinQ,Electronics,87010
81098,Nokia,iPhone 12,Electronics,65912
81099,Samsung,LG V60 ThinQ,Electronics,155964
81100,Xiaomi,Xperia 1 II,Smartphone,11175
81101,Motorola,Moto G Power,Electronics,184401
81102,Xiaomi,Mi 11,Smartphone,17411
81103,Xiaomi,iPhone 12,Electronics,79495
81104,Google,LG V60 ThinQ,Electronics,177434
81105,Apple,OnePlus 9,Electronics,163162
81106,Xiaomi,Xperia 1 II,Electronics,122585
81107,Google,Xperia 1 II,Mobile Device,168518
81108,Nokia,Moto G Power,Smartphone,84256
81109,Huawei,Moto G Power,Electronics,125472
81110,Apple,Nokia 8.3,Electronics,78818
81111,Google,iPhone 12,Mobile Device,126031
81112,Samsung,Mi 11,Electronics,10760
81113,LG,Xperia 1 II,Electronics,198419
81114,Google,Pixel 5,Electronics,165989
81115,LG,Pixel 5,Mobile Device,70813
81116,Huawei,Pixel 5,Electronics,41914
81117,Google,Nokia 8.3,Mobile Device,94748
81118,Huawei,Moto G Power,Smartphone,100492
81119,Google,iPhone 12,Electronics,37127
81120,Apple,Pixel 5,Mobile Device,186269
81121,Samsung,Pixel 5,Mobile Device,20583
81122,Google,Moto G Power,Electronics,47437
81123,Xiaomi,OnePlus 9,Electronics,195422
81124,Huawei,Pixel 5,Mobile Device,148267
81125,LG,OnePlus 9,Mobile Device,18448
81126,Motorola,Galaxy S21,Mobile Device,107132
81127,Huawei,OnePlus 9,Smartphone,11026
81128,LG,LG V60 ThinQ,Electronics,122032
81129,Xiaomi,Galaxy S21,Smartphone,170584
81130,Motorola,OnePlus 9,Mobile Device,134905
81131,Xiaomi,LG V60 ThinQ,Electronics,19581
81132,Google,Nokia 8.3,Electronics,187186
81133,Motorola,iPhone 12,Smartphone,168335
81134,Nokia,Mi 11,Smartphone,183901
81135,Samsung,Nokia 8.3,Mobile Device,140762
81136,Samsung,Xperia 1 II,Mobile Device,147293
81137,Huawei,Pixel 5,Electronics,20603
81138,Huawei,LG V60 ThinQ,Mobile Device,159567
81139,Nokia,ZenFone 8,Smartphone,193415
81140,Huawei,Galaxy S21,Smartphone,48604
81141,Huawei,Mi 11,Mobile Device,77692
81142,Google,ZenFone 8,Mobile Device,140147
81143,Nokia,Mi 11,Mobile Device,125743
81144,Xiaomi,iPhone 12,Smartphone,24649
81145,Apple,Nokia 8.3,Smartphone,74115
81146,Samsung,Xperia 1 II,Electronics,196992
81147,Samsung,ZenFone 8,Electronics,6808
81148,OnePlus,Mi 11,Smartphone,47243
81149,Motorola,LG V60 ThinQ,Electronics,115037
81150,LG,OnePlus 9,Electronics,139766
81151,Huawei,Moto G Power,Mobile Device,38856
81152,Motorola,Moto G Power,Electronics,166170
81153,Sony,OnePlus 9,Electronics,111852
81154,Apple,Moto G Power,Mobile Device,16283
81155,LG,Moto G Power,Electronics,74834
81156,OnePlus,Xperia 1 II,Mobile Device,124488
81157,LG,Nokia 8.3,Smartphone,16946
81158,Motorola,LG V60 ThinQ,Smartphone,142098
81159,Motorola,iPhone 12,Smartphone,56671
81160,OnePlus,iPhone 12,Electronics,9929
81161,Sony,Galaxy S21,Electronics,26918
81162,LG,OnePlus 9,Smartphone,98905
81163,Apple,Xperia 1 II,Smartphone,140206
81164,Huawei,Galaxy S21,Electronics,67755
81165,Samsung,iPhone 12,Mobile Device,69911
81166,Google,ZenFone 8,Mobile Device,65341
81167,Motorola,Nokia 8.3,Smartphone,106008
81168,OnePlus,iPhone 12,Mobile Device,47178
81169,OnePlus,Nokia 8.3,Electronics,75865
81170,Sony,LG V60 ThinQ,Mobile Device,126972
81171,Huawei,OnePlus 9,Smartphone,81769
81172,Samsung,ZenFone 8,Mobile Device,177845
81173,Nokia,Pixel 5,Mobile Device,137353
81174,Samsung,ZenFone 8,Mobile Device,115357
81175,Google,LG V60 ThinQ,Smartphone,159815
81176,Sony,Moto G Power,Mobile Device,49784
81177,Xiaomi,Mi 11,Electronics,98146
81178,Xiaomi,LG V60 ThinQ,Mobile Device,107406
81179,Apple,Moto G Power,Electronics,60181
81180,OnePlus,Xperia 1 II,Electronics,143061
81181,Google,LG V60 ThinQ,Electronics,61164
81182,Samsung,Galaxy S21,Electronics,58702
81183,Samsung,ZenFone 8,Electronics,175644
81184,Motorola,Nokia 8.3,Electronics,163079
81185,OnePlus,Moto G Power,Smartphone,182069
81186,Sony,Galaxy S21,Electronics,83511
81187,Huawei,Mi 11,Mobile Device,157032
81188,Google,iPhone 12,Electronics,180343
81189,OnePlus,OnePlus 9,Smartphone,103703
81190,Google,LG V60 ThinQ,Electronics,137169
81191,Samsung,Moto G Power,Smartphone,7652
81192,Xiaomi,iPhone 12,Electronics,187002
81193,Samsung,Xperia 1 II,Mobile Device,28311
81194,Sony,ZenFone 8,Mobile Device,53962
81195,Motorola,ZenFone 8,Mobile Device,92621
81196,Samsung,Galaxy S21,Electronics,68900
81197,Xiaomi,Mi 11,Mobile Device,83955
81198,Samsung,iPhone 12,Mobile Device,170257
81199,Huawei,Galaxy S21,Electronics,142398
81200,Apple,Moto G Power,Mobile Device,117236
81201,LG,Mi 11,Smartphone,169974
81202,Google,Xperia 1 II,Mobile Device,31591
81203,Huawei,ZenFone 8,Mobile Device,87829
81204,LG,Nokia 8.3,Electronics,94392
81205,Apple,Pixel 5,Smartphone,77589
81206,Motorola,Mi 11,Electronics,9603
81207,Samsung,Moto G Power,Mobile Device,152194
81208,Google,Mi 11,Mobile Device,82331
81209,Nokia,ZenFone 8,Mobile Device,122177
81210,Samsung,Nokia 8.3,Mobile Device,115270
81211,LG,Galaxy S21,Smartphone,49521
81212,Samsung,Galaxy S21,Electronics,77283
81213,OnePlus,iPhone 12,Mobile Device,39821
81214,Sony,Pixel 5,Mobile Device,189742
81215,Google,Galaxy S21,Smartphone,187986
81216,Huawei,Galaxy S21,Smartphone,188617
81217,Google,ZenFone 8,Electronics,133062
81218,Motorola,Moto G Power,Electronics,174082
81219,Apple,Mi 11,Electronics,152828
81220,Huawei,OnePlus 9,Mobile Device,96384
81221,Samsung,OnePlus 9,Electronics,197468
81222,OnePlus,Nokia 8.3,Electronics,145921
81223,Xiaomi,iPhone 12,Smartphone,93601
81224,Samsung,Moto G Power,Electronics,96376
81225,Google,OnePlus 9,Smartphone,44149
81226,Xiaomi,Nokia 8.3,Electronics,20864
81227,Motorola,ZenFone 8,Electronics,195029
81228,Samsung,Mi 11,Mobile Device,122079
81229,Nokia,ZenFone 8,Smartphone,26606
81230,Apple,Mi 11,Electronics,139847
81231,LG,Mi 11,Electronics,22323
81232,Sony,Xperia 1 II,Mobile Device,98369
81233,Samsung,LG V60 ThinQ,Smartphone,163662
81234,OnePlus,ZenFone 8,Mobile Device,189122
81235,OnePlus,LG V60 ThinQ,Mobile Device,154620
81236,Huawei,Pixel 5,Smartphone,178471
81237,Motorola,ZenFone 8,Electronics,180098
81238,LG,LG V60 ThinQ,Electronics,24869
81239,Google,Pixel 5,Mobile Device,72374
81240,OnePlus,LG V60 ThinQ,Mobile Device,22628
81241,Sony,Galaxy S21,Smartphone,49187
81242,Nokia,Xperia 1 II,Smartphone,181943
81243,Google,Pixel 5,Mobile Device,63646
81244,Apple,ZenFone 8,Mobile Device,97563
81245,Samsung,Nokia 8.3,Mobile Device,187360
81246,OnePlus,Xperia 1 II,Mobile Device,80113
81247,Xiaomi,Moto G Power,Smartphone,193639
81248,Xiaomi,iPhone 12,Mobile Device,149047
81249,LG,Pixel 5,Mobile Device,114235
81250,Google,iPhone 12,Electronics,172558
81251,Samsung,iPhone 12,Mobile Device,29394
81252,Apple,iPhone 12,Smartphone,99626
81253,Nokia,Pixel 5,Electronics,139383
81254,LG,OnePlus 9,Mobile Device,154088
81255,OnePlus,Nokia 8.3,Mobile Device,62094
81256,Apple,Mi 11,Electronics,75909
81257,Motorola,OnePlus 9,Mobile Device,59924
81258,Huawei,Pixel 5,Electronics,58284
81259,Xiaomi,Mi 11,Electronics,167522
81260,Xiaomi,Galaxy S21,Smartphone,28028
81261,LG,Pixel 5,Smartphone,99000
81262,Nokia,Galaxy S21,Mobile Device,156718
81263,Xiaomi,ZenFone 8,Mobile Device,167335
81264,Motorola,OnePlus 9,Mobile Device,124944
81265,Apple,Galaxy S21,Mobile Device,14357
81266,Huawei,ZenFone 8,Electronics,105939
81267,Google,ZenFone 8,Electronics,88791
81268,Samsung,LG V60 ThinQ,Mobile Device,17927
81269,Huawei,Nokia 8.3,Electronics,149470
81270,LG,Pixel 5,Smartphone,53024
81271,Sony,Pixel 5,Mobile Device,57721
81272,Sony,LG V60 ThinQ,Smartphone,45930
81273,Motorola,iPhone 12,Smartphone,154236
81274,Google,LG V60 ThinQ,Mobile Device,148893
81275,Sony,LG V60 ThinQ,Electronics,160666
81276,Xiaomi,Mi 11,Smartphone,115643
81277,Samsung,OnePlus 9,Smartphone,86453
81278,Xiaomi,Pixel 5,Mobile Device,165981
81279,Nokia,Galaxy S21,Electronics,198269
81280,Sony,Moto G Power,Smartphone,142570
81281,Google,Galaxy S21,Mobile Device,13984
81282,Google,OnePlus 9,Electronics,179481
81283,Samsung,Pixel 5,Electronics,83246
81284,Motorola,Xperia 1 II,Mobile Device,17810
81285,Huawei,ZenFone 8,Electronics,12941
81286,LG,OnePlus 9,Electronics,34785
81287,Google,Xperia 1 II,Electronics,59476
81288,Xiaomi,Nokia 8.3,Mobile Device,193224
81289,Nokia,Mi 11,Mobile Device,22471
81290,LG,ZenFone 8,Electronics,141655
81291,Apple,Pixel 5,Electronics,10544
81292,Huawei,iPhone 12,Electronics,192708
81293,Xiaomi,iPhone 12,Smartphone,41913
81294,LG,Pixel 5,Smartphone,10175
81295,Huawei,OnePlus 9,Electronics,76422
81296,Google,Nokia 8.3,Mobile Device,48388
81297,Xiaomi,OnePlus 9,Smartphone,128566
81298,Apple,Mi 11,Mobile Device,100910
81299,LG,ZenFone 8,Smartphone,38111
81300,Xiaomi,Pixel 5,Mobile Device,64493
81301,Google,ZenFone 8,Mobile Device,18451
81302,Xiaomi,iPhone 12,Smartphone,198068
81303,Apple,LG V60 ThinQ,Electronics,146378
81304,OnePlus,Pixel 5,Electronics,197626
81305,LG,Mi 11,Electronics,35909
81306,OnePlus,OnePlus 9,Smartphone,125644
81307,Nokia,OnePlus 9,Electronics,148064
81308,Nokia,OnePlus 9,Electronics,73192
81309,Motorola,OnePlus 9,Smartphone,40746
81310,Google,Mi 11,Smartphone,109204
81311,Huawei,Nokia 8.3,Mobile Device,88890
81312,Xiaomi,Pixel 5,Smartphone,121222
81313,Apple,Nokia 8.3,Mobile Device,90329
81314,Motorola,OnePlus 9,Electronics,16945
81315,Sony,Nokia 8.3,Mobile Device,42102
81316,Samsung,iPhone 12,Smartphone,154827
81317,LG,OnePlus 9,Smartphone,58140
81318,Xiaomi,OnePlus 9,Electronics,155171
81319,OnePlus,LG V60 ThinQ,Electronics,136814
81320,LG,iPhone 12,Smartphone,71604
81321,Huawei,Nokia 8.3,Smartphone,51708
81322,LG,Galaxy S21,Mobile Device,198393
81323,LG,LG V60 ThinQ,Mobile Device,119400
81324,OnePlus,LG V60 ThinQ,Electronics,93685
81325,Xiaomi,Galaxy S21,Electronics,189966
81326,Xiaomi,LG V60 ThinQ,Smartphone,156696
81327,OnePlus,Mi 11,Smartphone,32285
81328,Huawei,LG V60 ThinQ,Electronics,115519
81329,Nokia,LG V60 ThinQ,Electronics,125102
81330,Sony,OnePlus 9,Smartphone,173188
81331,Samsung,ZenFone 8,Electronics,64026
81332,OnePlus,OnePlus 9,Smartphone,166460
81333,Motorola,iPhone 12,Mobile Device,57857
81334,Xiaomi,Xperia 1 II,Smartphone,160618
81335,Google,OnePlus 9,Smartphone,95969
81336,Huawei,LG V60 ThinQ,Electronics,110229
81337,Nokia,ZenFone 8,Smartphone,165018
81338,Nokia,Pixel 5,Electronics,146925
81339,Nokia,Pixel 5,Smartphone,137260
81340,Xiaomi,Mi 11,Smartphone,109747
81341,Google,Galaxy S21,Mobile Device,164956
81342,Samsung,iPhone 12,Electronics,181256
81343,Apple,OnePlus 9,Electronics,79468
81344,Motorola,iPhone 12,Electronics,46104
81345,Samsung,iPhone 12,Electronics,46790
81346,OnePlus,Pixel 5,Mobile Device,182593
81347,Apple,Moto G Power,Electronics,164426
81348,Motorola,LG V60 ThinQ,Mobile Device,149335
81349,Google,Moto G Power,Mobile Device,82669
81350,Apple,Xperia 1 II,Smartphone,110771
81351,Nokia,LG V60 ThinQ,Smartphone,86059
81352,Motorola,LG V60 ThinQ,Electronics,180440
81353,Sony,ZenFone 8,Mobile Device,149307
81354,Motorola,OnePlus 9,Electronics,127918
81355,Sony,ZenFone 8,Electronics,67108
81356,Google,Galaxy S21,Smartphone,109444
81357,Xiaomi,Xperia 1 II,Electronics,157929
81358,Samsung,ZenFone 8,Smartphone,181035
81359,Huawei,ZenFone 8,Electronics,117765
81360,Nokia,iPhone 12,Smartphone,154609
81361,Samsung,Nokia 8.3,Smartphone,132533
81362,LG,iPhone 12,Electronics,163527
81363,Nokia,Moto G Power,Mobile Device,134451
81364,OnePlus,OnePlus 9,Electronics,75100
81365,Apple,Galaxy S21,Mobile Device,42067
81366,Google,Xperia 1 II,Electronics,72158
81367,Motorola,OnePlus 9,Smartphone,106420
81368,Xiaomi,LG V60 ThinQ,Mobile Device,116744
81369,Xiaomi,Xperia 1 II,Mobile Device,158144
81370,Motorola,Xperia 1 II,Mobile Device,122212
81371,Xiaomi,LG V60 ThinQ,Electronics,134576
81372,Google,Pixel 5,Electronics,175352
81373,Huawei,OnePlus 9,Electronics,191191
81374,Nokia,Nokia 8.3,Mobile Device,57328
81375,Huawei,Xperia 1 II,Smartphone,20904
81376,Xiaomi,Pixel 5,Mobile Device,78709
81377,Huawei,iPhone 12,Smartphone,131105
81378,Motorola,Nokia 8.3,Mobile Device,136494
81379,OnePlus,Pixel 5,Smartphone,13873
81380,Google,Galaxy S21,Smartphone,111295
81381,Huawei,ZenFone 8,Mobile Device,117772
81382,LG,iPhone 12,Smartphone,147902
81383,Samsung,iPhone 12,Electronics,48137
81384,OnePlus,Moto G Power,Mobile Device,18571
81385,Nokia,Mi 11,Electronics,73314
81386,LG,ZenFone 8,Mobile Device,23279
81387,Google,iPhone 12,Smartphone,75105
81388,LG,iPhone 12,Smartphone,148591
81389,Samsung,Galaxy S21,Smartphone,162997
81390,OnePlus,Pixel 5,Smartphone,69025
81391,OnePlus,Moto G Power,Smartphone,197089
81392,OnePlus,ZenFone 8,Smartphone,108807
81393,Google,Xperia 1 II,Electronics,195801
81394,Google,LG V60 ThinQ,Mobile Device,46666
81395,Xiaomi,ZenFone 8,Smartphone,153373
81396,OnePlus,Pixel 5,Smartphone,13302
81397,Sony,Moto G Power,Smartphone,160854
81398,Motorola,Galaxy S21,Smartphone,126421
81399,LG,LG V60 ThinQ,Mobile Device,86494
81400,Google,OnePlus 9,Electronics,116109
81401,Xiaomi,Nokia 8.3,Mobile Device,165746
81402,Xiaomi,Galaxy S21,Smartphone,131142
81403,Sony,ZenFone 8,Mobile Device,73281
81404,Nokia,ZenFone 8,Mobile Device,192580
81405,Google,Moto G Power,Electronics,77672
81406,Sony,OnePlus 9,Mobile Device,7043
81407,Nokia,Galaxy S21,Smartphone,21153
81408,Apple,Nokia 8.3,Mobile Device,23451
81409,Sony,iPhone 12,Mobile Device,181904
81410,Motorola,Nokia 8.3,Electronics,26180
81411,Motorola,Nokia 8.3,Mobile Device,33058
81412,Huawei,Pixel 5,Smartphone,91763
81413,Apple,OnePlus 9,Smartphone,129301
81414,OnePlus,Moto G Power,Mobile Device,64092
81415,Xiaomi,Xperia 1 II,Mobile Device,114293
81416,OnePlus,Xperia 1 II,Mobile Device,84522
81417,Google,Mi 11,Electronics,29161
81418,Motorola,iPhone 12,Mobile Device,188901
81419,Nokia,Xperia 1 II,Electronics,65383
81420,Google,LG V60 ThinQ,Mobile Device,132382
81421,OnePlus,OnePlus 9,Mobile Device,68500
81422,Huawei,LG V60 ThinQ,Electronics,165434
81423,LG,OnePlus 9,Mobile Device,134632
81424,Samsung,Nokia 8.3,Smartphone,131154
81425,Sony,Mi 11,Smartphone,81244
81426,Huawei,Nokia 8.3,Electronics,32629
81427,Xiaomi,Mi 11,Mobile Device,126481
81428,Xiaomi,Moto G Power,Mobile Device,140003
81429,Samsung,Mi 11,Electronics,23845
81430,LG,Nokia 8.3,Smartphone,151833
81431,Huawei,Moto G Power,Mobile Device,101461
81432,Samsung,Moto G Power,Mobile Device,54597
81433,Nokia,Mi 11,Mobile Device,154815
81434,Motorola,Xperia 1 II,Electronics,131845
81435,Apple,Moto G Power,Electronics,160273
81436,Motorola,iPhone 12,Electronics,156972
81437,Apple,OnePlus 9,Electronics,158054
81438,Motorola,Moto G Power,Mobile Device,79599
81439,Huawei,OnePlus 9,Electronics,179326
81440,Google,Xperia 1 II,Mobile Device,124089
81441,Apple,OnePlus 9,Smartphone,93502
81442,Apple,Mi 11,Electronics,24328
81443,Apple,Galaxy S21,Smartphone,127109
81444,Xiaomi,Pixel 5,Electronics,142495
81445,Motorola,iPhone 12,Smartphone,163236
81446,Huawei,LG V60 ThinQ,Smartphone,42541
81447,Apple,LG V60 ThinQ,Smartphone,109387
81448,Google,Xperia 1 II,Electronics,191846
81449,Xiaomi,OnePlus 9,Mobile Device,7764
81450,Huawei,Mi 11,Electronics,100031
81451,Samsung,ZenFone 8,Electronics,175679
81452,Xiaomi,Moto G Power,Smartphone,59258
81453,Samsung,Pixel 5,Electronics,74975
81454,Nokia,iPhone 12,Electronics,68773
81455,Apple,iPhone 12,Electronics,165268
81456,Google,LG V60 ThinQ,Mobile Device,81515
81457,Sony,iPhone 12,Mobile Device,39534
81458,Motorola,Mi 11,Electronics,30849
81459,OnePlus,Galaxy S21,Electronics,48694
81460,Google,Nokia 8.3,Smartphone,116196
81461,Motorola,Galaxy S21,Mobile Device,61112
81462,Motorola,Mi 11,Mobile Device,70860
81463,Samsung,Pixel 5,Electronics,150945
81464,Xiaomi,Moto G Power,Mobile Device,75511
81465,Huawei,ZenFone 8,Electronics,126042
81466,Samsung,ZenFone 8,Electronics,154334
81467,Apple,Nokia 8.3,Electronics,121887
81468,Xiaomi,LG V60 ThinQ,Electronics,185953
81469,Nokia,Galaxy S21,Smartphone,161677
81470,Google,Xperia 1 II,Mobile Device,67934
81471,LG,LG V60 ThinQ,Smartphone,72150
81472,Sony,Galaxy S21,Mobile Device,10726
81473,Samsung,OnePlus 9,Mobile Device,47869
81474,Huawei,iPhone 12,Electronics,92862
81475,Motorola,Xperia 1 II,Electronics,91877
81476,Nokia,LG V60 ThinQ,Electronics,54288
81477,Google,ZenFone 8,Mobile Device,39854
81478,Apple,OnePlus 9,Smartphone,77950
81479,OnePlus,iPhone 12,Mobile Device,131474
81480,Google,LG V60 ThinQ,Mobile Device,119665
81481,Nokia,Pixel 5,Smartphone,191230
81482,Huawei,Moto G Power,Electronics,83963
81483,Nokia,Mi 11,Electronics,26152
81484,Sony,iPhone 12,Mobile Device,121977
81485,Nokia,Pixel 5,Electronics,70898
81486,Samsung,Nokia 8.3,Mobile Device,22237
81487,Motorola,Nokia 8.3,Mobile Device,91631
81488,Motorola,OnePlus 9,Electronics,102098
81489,Xiaomi,LG V60 ThinQ,Electronics,42770
81490,LG,ZenFone 8,Electronics,105615
81491,Xiaomi,OnePlus 9,Smartphone,37867
81492,Google,Nokia 8.3,Electronics,178328
81493,Huawei,Moto G Power,Mobile Device,59341
81494,Huawei,ZenFone 8,Mobile Device,159289
81495,Apple,Galaxy S21,Smartphone,89072
81496,Huawei,Galaxy S21,Smartphone,111424
81497,LG,Moto G Power,Smartphone,118514
81498,OnePlus,ZenFone 8,Mobile Device,72961
81499,Apple,Nokia 8.3,Mobile Device,133671
81500,OnePlus,Nokia 8.3,Electronics,180343
81501,Google,Mi 11,Smartphone,6894
81502,Xiaomi,LG V60 ThinQ,Mobile Device,145863
81503,OnePlus,OnePlus 9,Mobile Device,43990
81504,Xiaomi,Mi 11,Smartphone,11640
81505,OnePlus,Galaxy S21,Mobile Device,140222
81506,Xiaomi,Pixel 5,Electronics,19977
81507,Apple,Xperia 1 II,Electronics,93757
81508,Xiaomi,Moto G Power,Electronics,99989
81509,Sony,Moto G Power,Mobile Device,168069
81510,Samsung,Pixel 5,Electronics,19735
81511,Huawei,Galaxy S21,Mobile Device,162236
81512,Sony,Galaxy S21,Smartphone,12513
81513,Google,Galaxy S21,Smartphone,138975
81514,Motorola,Moto G Power,Electronics,170120
81515,Samsung,ZenFone 8,Mobile Device,87851
81516,Sony,Mi 11,Mobile Device,118371
81517,Apple,iPhone 12,Smartphone,183823
81518,Sony,ZenFone 8,Smartphone,106350
81519,OnePlus,Galaxy S21,Electronics,37597
81520,Motorola,Pixel 5,Electronics,105118
81521,Xiaomi,LG V60 ThinQ,Electronics,60398
81522,Samsung,Nokia 8.3,Electronics,27666
81523,Apple,Mi 11,Smartphone,196389
81524,OnePlus,OnePlus 9,Electronics,51700
81525,Apple,Nokia 8.3,Smartphone,18444
81526,Google,Xperia 1 II,Electronics,173966
81527,Huawei,LG V60 ThinQ,Smartphone,132271
81528,OnePlus,Galaxy S21,Electronics,61061
81529,Sony,Moto G Power,Smartphone,14514
81530,Apple,Moto G Power,Electronics,95983
81531,LG,Mi 11,Electronics,65048
81532,Samsung,Xperia 1 II,Electronics,120426
81533,Apple,Pixel 5,Electronics,8798
81534,OnePlus,Pixel 5,Smartphone,101338
81535,LG,LG V60 ThinQ,Mobile Device,148443
81536,OnePlus,Pixel 5,Electronics,185014
81537,OnePlus,ZenFone 8,Electronics,65589
81538,Google,ZenFone 8,Electronics,103340
81539,LG,Nokia 8.3,Smartphone,187945
81540,Sony,Mi 11,Mobile Device,32213
81541,Samsung,OnePlus 9,Electronics,63659
81542,Apple,Xperia 1 II,Mobile Device,41476
81543,Apple,Galaxy S21,Mobile Device,143312
81544,LG,Nokia 8.3,Smartphone,191375
81545,Motorola,Moto G Power,Smartphone,60012
81546,Nokia,ZenFone 8,Mobile Device,181613
81547,Apple,ZenFone 8,Smartphone,63685
81548,Nokia,Nokia 8.3,Smartphone,87462
81549,OnePlus,Moto G Power,Mobile Device,72257
81550,OnePlus,iPhone 12,Electronics,39151
81551,Huawei,OnePlus 9,Mobile Device,116553
81552,Huawei,Pixel 5,Smartphone,153651
81553,Google,Xperia 1 II,Mobile Device,18157
81554,Sony,Nokia 8.3,Mobile Device,57243
81555,Samsung,ZenFone 8,Electronics,198159
81556,Sony,Moto G Power,Smartphone,53382
81557,OnePlus,iPhone 12,Mobile Device,120239
81558,OnePlus,Pixel 5,Electronics,123731
81559,Google,Nokia 8.3,Smartphone,14088
81560,LG,Moto G Power,Electronics,114162
81561,Huawei,iPhone 12,Mobile Device,51409
81562,LG,iPhone 12,Electronics,180264
81563,OnePlus,Pixel 5,Smartphone,73657
81564,OnePlus,Galaxy S21,Electronics,178444
81565,Xiaomi,ZenFone 8,Smartphone,84754
81566,Xiaomi,Pixel 5,Mobile Device,84330
81567,Xiaomi,Xperia 1 II,Smartphone,154511
81568,Google,Mi 11,Mobile Device,122968
81569,Huawei,LG V60 ThinQ,Electronics,30449
81570,Samsung,Xperia 1 II,Mobile Device,85734
81571,Huawei,OnePlus 9,Mobile Device,75624
81572,Samsung,Mi 11,Smartphone,35271
81573,OnePlus,Galaxy S21,Mobile Device,16493
81574,Google,OnePlus 9,Mobile Device,108066
81575,Google,Nokia 8.3,Mobile Device,181105
81576,Nokia,Moto G Power,Mobile Device,35626
81577,Apple,iPhone 12,Mobile Device,33959
81578,Apple,iPhone 12,Smartphone,167141
81579,Google,Mi 11,Electronics,181056
81580,Nokia,Moto G Power,Mobile Device,125779
81581,Motorola,iPhone 12,Smartphone,192946
81582,Motorola,OnePlus 9,Electronics,31374
81583,Google,Galaxy S21,Smartphone,188018
81584,Samsung,Moto G Power,Electronics,6670
81585,OnePlus,LG V60 ThinQ,Electronics,43154
81586,Sony,ZenFone 8,Smartphone,106509
81587,LG,Galaxy S21,Mobile Device,71807
81588,Samsung,LG V60 ThinQ,Mobile Device,39037
81589,Samsung,ZenFone 8,Smartphone,105573
81590,Xiaomi,Moto G Power,Mobile Device,26916
81591,Motorola,LG V60 ThinQ,Mobile Device,128203
81592,OnePlus,Pixel 5,Smartphone,15901
81593,Nokia,OnePlus 9,Mobile Device,85621
81594,Samsung,Moto G Power,Mobile Device,23228
81595,OnePlus,OnePlus 9,Smartphone,188193
81596,LG,iPhone 12,Mobile Device,48172
81597,LG,Galaxy S21,Electronics,53639
81598,LG,OnePlus 9,Electronics,185426
81599,Nokia,Moto G Power,Mobile Device,88857
81600,Samsung,Nokia 8.3,Smartphone,166811
81601,Samsung,Moto G Power,Electronics,163142
81602,Google,Galaxy S21,Mobile Device,16866
81603,OnePlus,OnePlus 9,Electronics,191189
81604,Google,OnePlus 9,Electronics,90589
81605,LG,Moto G Power,Smartphone,177323
81606,Xiaomi,OnePlus 9,Mobile Device,96017
81607,Huawei,Nokia 8.3,Smartphone,141803
81608,Samsung,Mi 11,Mobile Device,65737
81609,Nokia,Nokia 8.3,Smartphone,170847
81610,Sony,iPhone 12,Mobile Device,42421
81611,Google,Pixel 5,Smartphone,66283
81612,Apple,Xperia 1 II,Electronics,41471
81613,Samsung,Moto G Power,Mobile Device,59889
81614,Motorola,iPhone 12,Electronics,142526
81615,Xiaomi,Xperia 1 II,Electronics,147621
81616,Apple,Pixel 5,Electronics,182034
81617,Samsung,Mi 11,Electronics,50768
81618,Xiaomi,Pixel 5,Smartphone,137003
81619,Google,Pixel 5,Electronics,51909
81620,Nokia,Xperia 1 II,Mobile Device,175234
81621,OnePlus,Mi 11,Electronics,183323
81622,Sony,Mi 11,Mobile Device,148387
81623,Huawei,ZenFone 8,Mobile Device,38977
81624,Xiaomi,OnePlus 9,Mobile Device,131777
81625,Motorola,Moto G Power,Smartphone,130790
81626,Samsung,Galaxy S21,Smartphone,75646
81627,Samsung,OnePlus 9,Mobile Device,93245
81628,Huawei,ZenFone 8,Smartphone,95311
81629,Apple,iPhone 12,Mobile Device,50126
81630,Huawei,Pixel 5,Electronics,97398
81631,Samsung,Galaxy S21,Electronics,118422
81632,Huawei,ZenFone 8,Smartphone,141270
81633,Nokia,Moto G Power,Electronics,89505
81634,LG,Mi 11,Mobile Device,84675
81635,Samsung,Nokia 8.3,Electronics,132818
81636,Nokia,Nokia 8.3,Mobile Device,182105
81637,Xiaomi,Pixel 5,Mobile Device,88739
81638,Samsung,ZenFone 8,Smartphone,45748
81639,Huawei,Nokia 8.3,Electronics,179907
81640,Google,Galaxy S21,Smartphone,161237
81641,Google,Nokia 8.3,Mobile Device,129990
81642,LG,LG V60 ThinQ,Smartphone,117269
81643,LG,Moto G Power,Smartphone,70733
81644,Apple,LG V60 ThinQ,Smartphone,126604
81645,Motorola,Pixel 5,Smartphone,27466
81646,Nokia,Nokia 8.3,Mobile Device,14477
81647,LG,Moto G Power,Electronics,196921
81648,Google,OnePlus 9,Smartphone,135552
81649,Motorola,Moto G Power,Smartphone,25069
81650,OnePlus,Xperia 1 II,Mobile Device,188579
81651,Xiaomi,LG V60 ThinQ,Electronics,75448
81652,Samsung,Moto G Power,Mobile Device,78726
81653,Xiaomi,OnePlus 9,Mobile Device,73748
